2026-04-30T14:57:14.546204 WARN empty_response doc_type=A11 start=202303110017 end=202306090017 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:57:15.838735 WARN empty_response doc_type=A11 start=202306090018 end=202309070018 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:57:17.049798 WARN empty_response doc_type=A11 start=202309070019 end=202312060019 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:57:18.404884 WARN empty_response doc_type=A11 start=202312060020 end=202403050020 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:57:20.567055 WARN empty_response doc_type=A11 start=202403050021 end=202406030021 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:57:21.828998 WARN empty_response doc_type=A11 start=202406030022 end=202409010022 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:57:23.184509 WARN empty_response doc_type=A11 start=202409010023 end=202411300023 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:57:24.467793 WARN empty_response doc_type=A11 start=202411300024 end=202502280024 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:57:25.745257 WARN empty_response doc_type=A11 start=202502280025 end=202505290025 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:57:26.987685 WARN empty_response doc_type=A11 start=202505290026 end=202508270026 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:57:28.216345 WARN empty_response doc_type=A11 start=202508270027 end=202511250027 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T14:57:29.786837 WARN empty_response doc_type=A11 start=202511250028 end=202512312359 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YAT-APG------L'}
2026-04-30T15:04:22.275980 WARN empty_response doc_type=A11 start=201901010000 end=201904010000 extra={'in_Domain': '10YCH-SWISSGRIDZ', 'out_Domain': '10Y1001A1001A63L'}
